GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MavenMinesweeper,default,Game,117,1029,16,90,27,170,10,59,1,15
MavenMinesweeper,default,Tile,0,87,0,8,0,35,0,18,0,14
MavenMinesweeper,default,Main,211,78,33,10,71,28,25,3,4,1
